,Country Name,m2016,f2016,index_,Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Unnamed: 30,mean_age
10,Antigua and Barbuda,"5,1","2,051",12,ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,AG,East Caribbean dollar,,Latin America & Caribbean,High income,AG,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,,,Yes,2007,,2018.0,,48
11,Australia,"3,1","1,809",13,AUS,Australia,Australia,Commonwealth of Australia,AU,Australian dollar,Fiscal year end: June 30; reporting period for national accounts data: FY.,East Asia & Pacific,High income,AU,Original chained constant price data are rescaled.,2020.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2016,,"Expenditure survey/budget survey (ES/BS), 2010",Yes,2015-2016,2013.0,2018.0,,31
12,Austria,"2,9","1,49",14,AUT,Austria,Austria,Republic of Austria,AT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,AT,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011. Population figures compiled from administrative registers.,,"Income survey (IS), 2015",Yes,2010,2014.0,2018.0,,38
13,Azerbaijan,"27,2","1,94",15,AZE,Azerbaijan,Azerbaijan,Republic of Azerbaijan,AZ,New Azeri manat,,Europe & Central Asia,Upper middle income,AZ,Original chained constant price data are rescaled.,2005.0,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1992–95,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2019,"Demographic and Health Survey, 2006","Living Standards Measurement Study Survey (LSMS), 2012",Yes,2015,2013.0,2018.0,,78
14,Burundi,"48,4","5,697",16,BDI,Burundi,Burundi,Republic of Burundi,BI,Burundi franc,,Sub-Saharan Africa,Low income,BI,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2008,"Demographic and Health Survey, 2016/17","Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",,,2012.0,2018.0,,90
15,Belgium,"3,1","1,7",17,BEL,Belgium,Belgium,Kingdom of Belgium,BE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,BE,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",Yes,2010,2014.0,2018.0,,49
16,Benin,"63,1","4,977",18,BEN,Benin,Benin,Republic of Benin,BJ,West African CFA franc,,Sub-Saharan Africa,Lower middle income,BJ,2015,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1992,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2013,"Demographic and Health Survey, 2017/18","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",,,1981.0,2018.0,,50
17,Burkina Faso,"52,7","5,353",19,BFA,Burkina Faso,Burkina Faso,Burkina Faso,BF,West African CFA franc,,Sub-Saharan Africa,Low income,BF,2015,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1992–93,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2019,"Malaria Indicator Survey, 2017/18","Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",,2006-2010,1983.0,2018.0,,87
18,Bangladesh,"28,2","2,104",20,BGD,Bangladesh,Bangladesh,People's Republic of Bangladesh,BD,Bangladeshi taka,Fiscal year end: June 30; reporting period for national accounts data: FY.,South Asia,Lower middle income,BD,2006,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2016",,2008,2011.0,2015.0,,68
19,Bulgaria,"6,5","1,53",21,BGR,Bulgaria,Bulgaria,Republic of Bulgaria,BG,Bulgarian lev,,Europe & Central Asia,Upper middle income,BG,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,"1978–89, 1991–92",,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011,Multitopic Household Survey 2007,"Expenditure survey/budget survey (ES/BS), 2014",Yes,2010,2014.0,2018.0,,63
20,Bahrain,"6,5","2,033",22,BHR,Bahrain,Bahrain,Kingdom of Bahrain,BH,Bahraini dinar,,Middle East & North Africa,High income,BH,2010,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected). Population figures compiled from administrative registers.,"Multiple Indicator Cluster Survey, 2000",,Yes,2010,2013.0,2018.0,,45
21,Bosnia and Herzegovina,"5,2","1,36",24,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,Bosnia and Herzegovina convertible mark,,Europe & Central Asia,Upper middle income,BA,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2013,"Multiple Indicator Cluster Survey, 2011/12","Expenditure survey/budget survey (ES/BS), 2015",Yes,,2011.0,2018.0,,84
22,Belarus,"2,9","1,733",25,BLR,Belarus,Belarus,Republic of Belarus,BY,Belarusian rubel,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",Europe & Central Asia,Upper middle income,BY,Original chained constant price data are rescaled.,2014.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,1990–95,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2019,"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2017",Yes,,2014.0,2018.0,,80
23,Belize,"12,8","2,51",26,BLZ,Belize,Belize,Belize,BZ,Belize dollar,,Latin America & Caribbean,Lower middle income,BZ,2000,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2015/16","Labor force survey (LFS), 1999",,2011,1992.0,2018.0,,47
24,Bermuda,,"1,61",27,BMU,Bermuda,Bermuda,The Bermudas,BM,Bermuda dollar,,North America,High income,BM,2013,,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,,,2016,,,Yes,,,2018.0,,41
25,Bolivia,"29,5","2,878",28,BOL,Bolivia,Bolivia,Plurinational State of Bolivia,BO,Bolivian Boliviano,,Latin America & Caribbean,Lower middle income,BO,1990,,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology,1960–85,,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2012,"Demographic and Health Survey, 2008","Integrated household survey (IHS), 2016",,2013,2010.0,2018.0,,81
26,Bolivia,"29,5","2,878",28,BOL,Bolivia,Bolivia,Plurinational State of Bolivia,BO,Bolivian Boliviano,,Latin America & Caribbean,Lower middle income,BO,1990,,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology,1960–85,,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2012,"Demographic and Health Survey, 2008","Integrated household survey (IHS), 2016",,2013,2010.0,2018.0,,64
27,Brazil,"13,5","1,726",29,BRA,Brazil,Brazil,Federative Republic of Brazil,BR,Brazilian real,,Latin America & Caribbean,Upper middle income,BR,Original chained constant price data are rescaled.,2010.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2020 (expected),"National Health Survey, 2013","Integrated household survey (IHS), 2016",Yes,2006,2013.0,2018.0,,89
28,Barbados,"11,4","1,797",30,BRB,Barbados,Barbados,Barbados,BB,Barbados dollar,,Latin America & Caribbean,High income,BB,2010,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2012",,Yes,,1997.0,2018.0,,88
29,Bhutan,"26,8","2,051",32,BTN,Bhutan,Bhutan,Kingdom of Bhutan,BT,Bhutanese ngultrum,,South Asia,Lower middle income,BT,2000,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2017,"Multiple Indicator Cluster Survey, 2010","Integrated household survey (IHS), 2017",,"2009. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",,2012.0,,72
30,Botswana,"32,6","2,73",33,BWA,Botswana,Botswana,Republic of Botswana,BW,Botswana pula,,Sub-Saharan Africa,Upper middle income,BW,2016,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,Family Health Survey 2007-2008,"Core Welfare Indicator Questionnaire Survey (CWIQ), 2015/16",,2015,2013.0,2018.0,,58
31,Central African Republic,"88,5","4,869",34,CAF,Central African Republic,Central African Republic,Central African Republic,CF,Central African CFA franc,,Sub-Saharan Africa,Low income,CF,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2003,"Multiple Indicator Cluster Survey, 2018/19","Priority survey (PS), 2008",,,1993.0,2017.0,,71
32,Canada,"4,3","1,6",35,CAN,Canada,Canada,Canada,CA,Canadian dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,North America,High income,CA,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2016,,"Labor force survey (LFS), 2013",Yes,2016,2014.0,2018.0,,65
33,Switzerland,"3,6","1,54",37,CHE,Switzerland,Switzerland,Switzerland,CH,Swiss franc,,Europe & Central Asia,High income,CH,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",Yes,2010,2013.0,2018.0,,88
34,Switzerland,"3,6","1,54",37,CHE,Switzerland,Switzerland,Switzerland,CH,Swiss franc,,Europe & Central Asia,High income,CH,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",Yes,2010,2013.0,2018.0,,40
35,Channel Islands,,"1,478",38,CHI,Channel Islands,Channel Islands,Channel Islands,,Pound sterling,,Europe & Central Asia,High income,JG,,,,,,,,,,,,,,Guernsey: 2015; Jersey: 2011.,,,Yes. Vital registration for Guernsey and Jersey.,,,,,59
36,Channel Islands,,"1,478",38,CHI,Channel Islands,Channel Islands,Channel Islands,,Pound sterling,,Europe & Central Asia,High income,JG,,,,,,,,,,,,,,Guernsey: 2015; Jersey: 2011.,,,Yes. Vital registration for Guernsey and Jersey.,,,,,40
37,Chile,"7,2","1,774",39,CHL,Chile,Chile,Republic of Chile,CL,Chilean peso,,Latin America & Caribbean,High income,CL,Original chained constant price data are rescaled.,2013.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,,Special Data Dissemination Standard Plus (SDDS Plus),2017,,"Integrated household survey (IHS), 2017",Yes,2007,2013.0,2018.0,,55
38,China,"8,5","1,624",40,CHN,China,China,People's Republic of China,CN,Chinese yuan,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",East Asia & Pacific,Upper middle income,CN,2015,,Value added at producer prices (VAP),IBRD,,Country uses the 2008 System of National Accounts methodology,1978–93,,BPM6,Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"National Sample Survey on Population Changes, 2014","Integrated household survey (IHS), 2015",,2016,2007.0,2018.0,,64
39,Cameroon,"52,8","4,708",42,CMR,Cameroon,Cameroon,Republic of Cameroon,CM,Central African CFA franc,,Sub-Saharan Africa,Lower middle income,CM,2016,,Value added at basic prices (VAB),Blend,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Malaria Indicator Survey, 2020/21","Priority survey (PS), 2014",,,2002.0,2017.0,,86
40,Cameroon,"52,8","4,708",42,CMR,Cameroon,Cameroon,Republic of Cameroon,CM,Central African CFA franc,,Sub-Saharan Africa,Lower middle income,CM,2016,,Value added at basic prices (VAB),Blend,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Malaria Indicator Survey, 2020/21","Priority survey (PS), 2014",,,2002.0,2017.0,,75
41,Colombia,"13,1","1,853",45,COL,Colombia,Colombia,Republic of Colombia,CO,Colombian peso,,Latin America & Caribbean,Upper middle income,CO,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,1992–94,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2018,"Demographic and Health Survey, 2015","Integrated household survey (IHS), 2017",,2015,2012.0,2018.0,,63
42,Comoros,55,"4,347",46,COM,Comoros,Comoros,Union of the Comoros,KM,Comorian franc,,Sub-Saharan Africa,Lower middle income,KM,2007,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2017,"Demographic and Health Survey, 2012","Integrated household survey (IHS), 2013",,,,2013.0,,50
43,Cabo Verde,"18,2","2,334",47,CPV,Cabo Verde,Cabo Verde,Republic of Cabo Verde,CV,Cabo Verde escudo,,Sub-Saharan Africa,Lower middle income,CV,2007,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2005","Income survey (IS), 2015",Yes,2015,,2018.0,,69
44,Cabo Verde,"18,2","2,334",47,CPV,Cabo Verde,Cabo Verde,Republic of Cabo Verde,CV,Cabo Verde escudo,,Sub-Saharan Africa,Lower middle income,CV,2007,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2005","Income survey (IS), 2015",Yes,2015,,2018.0,,90
45,Costa Rica,"7,7","1,783",48,CRI,Costa Rica,Costa Rica,Republic of Costa Rica,CR,Costa Rican colon,,Latin America & Caribbean,Upper middle income,CR,Original chained constant price data are rescaled.,2017.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2017",Yes,2014,2013.0,2018.0,,84
46,Cuba,"4,2","1,722",50,CUB,Cuba,Cuba,Republic of Cuba,CU,Cuban peso,,Latin America & Caribbean,Upper middle income,CU,1997,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,,,,,,2012,"Multiple Indicator Cluster Survey, 2019",,Yes,,1989.0,2006.0,,86
47,Cuba,"4,2","1,722",50,CUB,Cuba,Cuba,Republic of Cuba,CU,Cuban peso,,Latin America & Caribbean,Upper middle income,CU,1997,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,,,,,,2012,"Multiple Indicator Cluster Survey, 2019",,Yes,,1989.0,2006.0,,34
48,Cayman Islands,,,52,CYM,Cayman Islands,Cayman Islands,Cayman Islands,KY,Cayman Islands dollar,,Latin America & Caribbean,High income,KY,2015,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,,,,2020 (expected),,,Yes,,,2015.0,,66
49,Cyprus,"2,1","1,343",53,CYP,Cyprus,Cyprus,Republic of Cyprus,CY,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,CY,Original chained constant price data are rescaled.,2010.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Income survey (IS), 2015",Yes,2010,2014.0,2018.0,,83
50,Czech Republic,"2,5","1,57",54,CZE,Czech Republic,Czech Republic,Czech Republic,CZ,Czech koruna,,Europe & Central Asia,High income,CZ,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003","Income survey (IS), 2015",Yes,2010,2013.0,2018.0,,89
51,Germany,"3,2","1,5",55,DEU,Germany,Germany,Federal Republic of Germany,DE,Euro,,Europe & Central Asia,High income,DE,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011. Population figures compiled from administrative registers and sample surveys while data on housing characteristics are collected through full field enumeration.,,"Income survey (IS), 2015",Yes,2010,2014.0,2018.0,,85
52,Djibouti,"53,5","2,847",56,DJI,Djibouti,Djibouti,Republic of Djibouti,DJ,Djibouti franc,,Middle East & North Africa,Lower middle income,DJ,2013,,Value added at basic prices (VAB),IDA,,Country uses the 2008 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2006","Priority survey (PS), 2017",,,,2009.0,,43
53,Dominica,"31,2",,57,DMA,Dominica,Dominica,Commonwealth of Dominica,DM,East Caribbean dollar,,Latin America & Caribbean,Upper middle income,DM,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,,,Yes,2015,,2012.0,,50
54,Denmark,"3,7","1,71",58,DNK,Denmark,Denmark,Kingdom of Denmark,DK,Danish krone,,Europe & Central Asia,High income,DK,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011. Population figures compiled from administrative registers.,,"Income survey (IS), 2015",Yes,2010,2014.0,2018.0,,60
55,Dominican Republic,"25,5","2,422",59,DOM,Dominican Republic,Dominican Republic,Dominican Republic,DO,Dominican peso,,Latin America & Caribbean,Upper middle income,DO,Original chained constant price data are rescaled.,2007.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2016",,2015,1984.0,2017.0,,87
56,Algeria,"21,6","2,776",60,DZA,Algeria,Algeria,People's Democratic Republic of Algeria,DZ,Algerian dinar,,Middle East & North Africa,Lower middle income,DZ,Original chained constant price data are rescaled.,2012.0,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2018/19","Integrated household survey (IHS), 2011",,,2010.0,2017.0,,37
57,Algeria,"21,6","2,776",60,DZA,Algeria,Algeria,People's Democratic Republic of Algeria,DZ,Algerian dinar,,Middle East & North Africa,Lower middle income,DZ,Original chained constant price data are rescaled.,2012.0,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2018/19","Integrated household survey (IHS), 2011",,,2010.0,2017.0,,53
58,Ecuador,"17,8","2,486",66,ECU,Ecuador,Ecuador,Republic of Ecuador,EC,U.S. dollar,,Latin America & Caribbean,Upper middle income,EC,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,,Special Data Dissemination Standard (SDDS),2020 (expected),"Reproductive Health Survey, 2004","Integrated household survey (IHS), 2018",,,2008.0,2018.0,,49
59,Eritrea,"32,9","4,133",69,ERI,Eritrea,Eritrea,State of Eritrea,ER,Eritrean nakfa,,Sub-Saharan Africa,Low income,ER,2011,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Estimate,,,,,"Demographic and Health Survey, 2002","Priority survey (PS), 1993",,,2012.0,2003.0,,46
